OBJECTID,GEOID,CIscore,HazScore,HealthScore,SVscore,CCVscore,Shape__Area,Shape__Length
315,6037700101,15,4,5,2,4,985503.3867,5009.137137
316,6037670602,5,1,2,1,1,20680162.23,34726.22141
317,6037670416,4,1,1,1,1,5668567.129,10802.7562
318,6037302004,15,4,3,3,5,497058.7109,2844.550028
319,6037302003,15,2,4,4,5,345623.0313,2440.63201
320,6037301802,15,2,4,4,5,698308.668,3480.763954
321,6037301801,17,4,5,3,5,1066274.938,4105.417997
322,6037503106,13,2,3,3,5,1342729.035,5337.431365
323,6037503105,10,2,3,3,2,1620438.203,6176.413198
324,6037503103,9,2,2,3,2,1581157.055,5694.027969
325,6037502801,11,3,4,2,2,3208479.813,7303.052935
326,6037502005,10,2,3,3,2,1546556.199,6005.861461
327,6037502004,11,3,3,3,2,1951185.484,6459.664014
328,6037408137,9,1,3,3,2,1203882.93,5244.866498
329,6037408136,8,1,3,2,2,1479142.043,6257.225168
330,6037408006,11,3,4,3,1,4841818.867,9268.340333
331,6037408004,13,4,4,3,2,834709.2617,4712.239157
332,6037404503,10,3,2,3,2,962626.0039,3940.140027
333,6037402406,12,3,3,4,2,1707456.82,5283.166207
334,6037670328,4,1,1,1,1,5678378.68,12817.70797
335,6037670326,4,1,1,1,1,6277711.395,14421.08762
336,6037670324,5,1,2,1,1,7037934.563,16947.78409
337,6037651402,9,4,3,1,1,2651215.551,8686.509894
338,6037651401,5,1,2,1,1,1463764.941,5747.765574
339,6037651304,4,1,1,1,1,2177595.867,8274.21316
340,6037552002,17,5,4,4,4,1028587.145,4252.584823
341,6037552001,13,3,3,3,4,1168381.43,4553.603073
342,6037502003,12,4,3,3,2,937272.3125,3924.389531
343,6037501804,17,3,5,4,5,771450.75,4101.037837
344,6037501803,18,5,5,4,4,859771.5977,4091.8116
345,6037108201,6,1,1,2,2,4125612.012,11190.1434
346,6037104822,14,4,2,4,4,894447.3398,5103.555158
347,6037104403,14,4,2,4,4,1018219.566,5932.962148
348,6037278001,10,3,4,2,1,2355012.57,9303.369234
349,6037265202,11,3,4,2,2,839603.1602,4244.623453
350,6037264102,6,1,3,1,1,573875.918,3764.77144
351,6037920118,4,1,1,1,1,4366094.453,11492.82354
352,6037920114,5,2,1,1,1,4164685.035,13472.42238
353,6037900201,11,1,2,3,5,349084403.1,85438.03306
354,6037800203,4,1,1,1,1,15206340.34,20784.41723
355,6037700102,18,4,5,4,5,715858.6016,4990.52644
356,6037920337,10,3,1,5,1,2421242.691,8052.004375
357,6037551502,12,3,3,3,3,1605723.992,6756.324938
358,6037551501,11,3,3,2,3,2132142.23,6714.459902
359,6037551402,13,4,3,2,4,1693222.348,5125.299481
360,6037551401,11,3,3,3,2,1077290.898,4310.912474
361,6037551102,17,4,4,5,4,2453415.809,7590.306179
362,6037551101,17,4,4,4,5,2452622.324,8091.6958
363,6037550902,12,1,4,3,4,1417698.188,5233.474082
364,6037550901,17,4,5,3,5,1626105.563,5570.492573
365,6037262704,7,2,3,1,1,2675918.707,8670.544268
366,6037240401,16,4,5,5,2,1006775.434,4157.899589
367,6037237102,18,4,5,5,4,669929.5117,3317.057661
368,6037211704,17,4,5,3,5,268609.2461,2114.230991
369,6037211122,18,5,5,4,4,530483.6328,3041.404322
370,6037207103,19,4,5,5,5,473750.0781,3540.069037
371,6037194101,8,2,3,1,2,3721469.563,12335.05478
372,6037192001,15,4,4,2,5,775703.6055,4272.678363
373,6037190202,18,5,5,3,5,310271.5039,2431.633844
374,6037189903,15,4,5,1,5,123404.3203,1527.086445
375,6037143604,14,4,4,2,4,822902.0703,5064.414557
376,6037141101,11,2,4,1,4,1114207.676,4325.835987
377,6037534803,17,2,5,5,5,888170.3789,5201.511079
378,6037533902,17,4,5,5,3,1114427.473,5316.702484
379,6037534802,14,1,5,4,4,588326.8711,3216.66628
380,6037534406,13,2,4,5,2,567600.4531,3424.011241
381,6037534405,16,2,5,5,4,775838.0078,3879.852441
382,6037533703,17,5,5,5,2,1241119.844,5978.647042
383,6037533403,20,5,5,5,5,689894.3945,4561.984441
384,6037533402,18,4,5,5,4,710958.2461,3605.851855
385,6037533300,18,5,5,5,3,506911.2227,3134.152471
386,6037310100,5,1,2,1,1,19345868.37,21229.2138
387,6037113422,8,2,1,3,2,2243262.613,6700.52731
388,6037503602,7,2,2,1,2,4798982.066,9411.415024
389,6037502302,18,5,4,5,4,1094293.613,5166.776261
390,6037502700,13,2,4,3,4,10157846.91,16317.53248
391,6037502402,12,3,4,3,2,1279387.172,4726.265984
392,6037543321,10,2,4,2,2,7090594.137,11004.3137
393,6037541500,15,5,3,5,2,1182883.781,4746.596349
394,6037550300,12,4,4,2,2,3688624.258,8157.871518
395,6037542401,12,2,3,3,4,1878610.797,5783.420517
396,6037543702,10,2,4,3,1,1901434.719,5539.248214
397,6037541100,13,3,4,4,2,1806428.875,5643.996505
398,6037405500,11,2,3,2,4,2706231.578,7390.466854
399,6037405101,9,2,2,3,2,1640868.43,5437.637
400,6037206020,16,5,4,3,4,1272134.609,4422.261309
401,6037206010,19,5,5,4,5,2101193.836,7741.363725
402,6037207710,17,5,5,2,5,1600719.371,6336.760838
403,6037207400,19,5,5,4,5,1278454.727,5586.289968
404,6037206300,19,4,5,5,5,902989.3281,4849.41417
405,6037208000,19,5,5,5,4,1411314.309,5245.335475
406,6037208610,19,5,4,5,5,515161.1797,3045.19649
407,6037208620,18,5,4,4,5,476027.7227,3020.620408
408,6037208710,18,5,5,4,4,246121.7188,2078.8315
409,6037208902,20,5,5,5,5,268922.4258,2084.113142
410,6037602600,14,5,4,3,2,2832890.941,7776.64279
411,6037219800,17,4,4,5,4,649419.8359,3586.91972
412,6037219010,13,2,4,4,3,644662.9414,3450.947276
413,6037218900,15,3,4,4,4,1025815.551,4233.556076
414,6037220100,13,4,4,3,2,1431072.074,6239.002471
415,6037219700,15,5,3,3,4,1592255.883,6106.819844
416,6037221220,18,5,4,5,4,962433.1367,3876.485065
417,6037219020,15,3,4,4,4,1052937.879,4134.475001
418,6037221110,17,4,4,4,5,342217.5781,2549.050307
419,6037221120,19,5,5,4,5,463588.3672,2770.205731
420,6037221302,20,5,5,5,5,677425.8477,3746.255263
421,6037221500,17,5,4,4,4,555690.125,3085.248753
422,6037221900,19,5,5,4,5,602223.9961,3908.285157
423,6037221820,15,3,5,3,4,298388.1445,2149.662634
424,6037221810,18,5,4,4,5,443977.0625,2751.662577
425,6037222100,15,2,4,4,5,696402.1016,3857.072704
426,6037222200,16,4,4,4,4,704384.6484,3873.955417
427,6037222600,16,3,4,4,5,949346.7227,3897.608396
428,6037536103,16,5,5,4,2,1715131.676,6001.379827
429,6037533002,17,3,5,5,4,709473.1641,3408.411127
430,6037480304,14,2,2,5,5,634927.4648,3315.099368
431,6037125501,13,4,3,3,3,679842.6055,3402.305773
432,6037125402,15,5,5,1,4,1014436.828,4087.73698
433,6037123901,15,5,4,3,3,1893648.328,5542.8947
434,6037121802,12,4,3,3,2,1393304.879,5502.652353
435,6037121801,12,3,3,3,3,712019.625,3897.216874
436,6037119202,10,2,2,4,2,1422203.57,6221.973372
437,6037119201,8,1,2,3,2,1395618.508,4779.193716
438,6037119002,13,3,2,4,4,2486356.539,7951.129971
439,6037119001,9,2,2,3,2,1575029.277,5134.534015
440,6037117202,9,2,2,2,3,2664781.68,6680.142479
441,6037115404,10,5,1,3,1,1400819.828,4802.845986
442,6037115403,12,5,1,4,2,1031488.781,4101.747219
443,6037900803,10,1,1,3,5,3937136.992,7925.286275
444,6037900805,10,1,1,3,5,3904036.551,7902.769843
445,6037901007,8,1,1,2,4,7733760.23,11711.58064
446,6037901101,9,1,1,2,5,7727843.094,11842.4221
447,6037900501,11,2,1,4,4,4623288.227,8637.271423
448,6037901004,8,1,1,2,4,19405355.33,19688.47143
449,6037901102,9,1,1,3,4,7570770.375,11667.67734
450,6037920015,4,1,1,1,1,8652908.199,14256.78419
451,6037104401,13,4,2,4,3,1001355.422,4588.704107
452,6037104620,10,3,1,4,2,779495.6797,4173.368233
453,6037104320,14,3,2,5,4,1778000.125,5394.185068
454,6037530902,17,2,5,5,5,759827.6641,4323.803927
455,6037530801,16,3,5,5,3,1123538.395,5318.660411
456,6037530901,16,4,5,5,2,651015.1602,3213.707257
457,6037531000,17,3,5,5,4,1465564.742,5808.371063
458,6037531101,18,3,5,5,5,1021777.621,4532.187461
459,6037531102,18,3,5,5,5,724196.6094,3621.661668
460,6037531201,16,2,5,5,4,809649.5625,4098.35772
461,6037531202,16,1,5,5,5,647914.543,3890.0665
462,6037482301,14,3,4,4,3,1284112.801,6395.529436
463,6037481103,14,1,5,4,4,2049966.313,6246.516608
464,6037482401,12,3,3,4,2,1226071.449,4595.469217
465,6037482303,15,3,4,5,3,1429169.617,5556.86984
466,6037482522,12,2,5,3,2,2404684.945,7020.41749
467,6037530005,14,2,5,3,4,3342585.207,11228.24164
468,6037403312,12,3,5,2,2,10276698.92,14439.26408
469,6037408704,13,1,3,4,5,1677661.734,6116.593094
470,6037403324,6,1,3,1,1,13646749.15,17758.97638
471,6037408211,14,2,4,4,4,11483222.28,15853.97184
472,6037403325,7,2,3,1,1,22892296.76,29970.22745
473,6037408212,14,2,5,3,4,4171880.844,8325.196697
474,6037408503,8,2,3,2,1,6843281.125,13716.74139
475,6037407001,11,3,3,3,2,1604538.199,5699.132322
476,6037408302,11,3,5,2,1,4920838.508,11996.29995
477,6037401202,9,2,3,2,2,4651107.789,9518.140952
478,6037403802,10,2,2,2,4,1908582.758,5960.540233
479,6037401603,11,1,4,2,4,2828549.426,6917.604434
480,6037403901,10,4,2,2,2,1847359.883,6239.799803
481,6037404901,9,2,2,3,2,1668751.422,5367.554238
482,6037405900,11,4,1,3,3,1929056.27,5863.132093
483,6037405002,9,2,2,3,2,1300769.918,4691.818606
484,6037405102,14,3,2,5,4,1399945.293,5818.914499
485,6037183820,18,5,5,4,4,451469.7188,3839.734248
486,6037185100,14,4,4,2,4,3335631.414,9358.711612
487,6037185202,12,2,4,3,3,1765869.859,6361.226021
488,6037185310,16,4,4,4,4,616916.9609,4473.703867
489,6037186100,14,3,5,2,4,1964956.543,8055.161656
490,6037183220,15,3,3,4,5,783373.707,4904.659132
491,6037533202,17,5,5,5,2,479232.0039,3260.344182
492,6037533502,17,4,5,4,4,340603.7109,2375.568249
493,6037533201,19,5,5,5,4,545107.4922,3435.055305
494,6037533503,18,5,5,5,3,254197.4961,2145.384386
495,6037533702,16,5,4,5,2,472697.875,2793.486313
496,6037533803,18,4,5,5,4,1144925.07,5664.793626
497,6037534202,17,3,5,5,4,844345.5352,4219.156824
498,6037534804,15,2,5,4,4,544216.8008,3412.248269
499,6037531602,19,4,5,5,5,652751.0977,3757.91694
500,6037533901,16,3,5,5,3,1113071.973,5758.505107
501,6037534001,18,4,5,5,4,1140824.516,4945.085233
502,6037502500,18,4,5,4,5,5576751.363,10431.23541
503,6037530400,18,4,5,4,5,2237462.504,6877.793404
504,6037501200,11,2,5,2,2,2070316.551,6396.690283
505,6037501501,7,1,4,1,1,9121130.285,17918.11818
506,6037501400,14,3,4,3,4,1570497.598,5521.215885
507,6037501300,11,2,5,2,2,2923605.371,7852.723671
508,6037500201,5,1,2,1,1,10522918.45,15861.01076
509,6037500202,6,1,3,1,1,9262721.828,15198.98184
510,6037501503,12,1,4,3,4,1172097.309,4615.728604
511,6037501504,14,1,4,4,5,1087361.699,4587.737545
512,6037406411,10,3,3,2,2,1089246.32,5303.793586
513,6037406500,11,2,3,2,4,3003838.793,7452.417572
514,6037406412,7,1,1,1,4,1782260.793,5717.661639
515,6037189702,12,2,5,1,4,2133793.395,8441.618873
